Product,Product URL,Product Price,Product Rating,No of review
Artistix Talon Anti-Theft Design Laptop Backpack Bag in Water Resistance With USB Charging Port (46 Cm) (Black)  ,https://amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_25?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-25,₹999,4.3 out of 5 stars,"2,343"
Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus)  ,https://amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_26?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-26,"₹1,542",4.4 out of 5 stars,"1,823"
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men  ,https://amazon.in/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_27?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-27,₹664,4.1 out of 5 stars,"3,184"
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown  ,https://amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7/ref=sr_1_28?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-28,"₹1,075",4.4 out of 5 stars,"3,347"
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm  ",https://amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_29?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-29,"₹1,299",4.1 out of 5 stars,"6,182"
"Wildcraft 45 Ltrs Grey and Orange Rucksack (8903338073864), Large  ",https://amazon.in/Wildcraft-Ltrs-orange-Rucksack-8903338073864/dp/B01G5I8YLC/ref=sr_1_30?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-30,"₹1,607",4.3 out of 5 stars,"8,416"
Half Moon Curiosity 35L Travel Laptop College School Backpack Water Resistant Slim Durable Fits 15.6 Inch Laptop Notebook with Rain cover (Navy Blue)  ,https://amazon.in/Half-Moon-Curiosity-Backpack-Resistant/dp/B09S3ZK3N1/ref=sr_1_31?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-31,₹849,3.7 out of 5 stars,128
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap  ",https://amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_32?keywords=bags&qid=1669055380&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-32,"₹1,249",4.2 out of 5 stars,655
"diksharth Travel Toiletry Bag Cosmetic Bag with Hook for Travel, Makeup Organizer, Cosmetic Pouch, Household Grooming Kit, Makeup Bag ( Multicolor )  ",https://amazon.in/diksharth-Toiletry-Organizer-Household-Multicolor/dp/B0BJQLVF2B/ref=sr_1_113?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-113,₹299,1.0 out of 5 stars,2
HP Odyssey Backpack for 15.6-inch Laptop (Grey/Green)  ,https://amazon.in/HP-Odyssey-Backpack-15-6-inch-Laptop/dp/B012K57MYE/ref=sr_1_114?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-114,"₹2,459",4.5 out of 5 stars,"5,093"
